mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.031200218200683593,0.0027472471360721804,0.006926345825195313,0.00046854540353986326,gini,10,2,2,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.7921023426511956,0.8341427905893315,0.8192987739834069,0.7960186723001627,0.8321661983841354,0.8147457555816464,0.017685443553733426,122,0.9722869397454681,0.9650048606100782,0.9661735693167707,0.9675041478516694,0.9728468830584267,0.9687632801164826,0.0032096642640923128
0.03186287879943848,0.002749362602671106,0.007642412185668945,0.0008706618441601772,gini,10,2,5,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.7976657009912069,0.8199361773059193,0.8150947344460217,0.8046205013811721,0.8299542214105616,0.8134542671069763,0.011351378963178463,126,0.9697113100858598,0.9624017678990148,0.9630349620712977,0.9632848239133112,0.9713131354864911,0.965949199891195,0.0037709742335071276
0.03205718994140625,0.003072832084368174,0.007798051834106446,0.000618598027973821,gini,10,2,10,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.7927370912991153,0.8183002645502645,0.8013582597676618,0.7742874803535398,0.8361088164211401,0.8045583824783444,0.02121593943625557,157,0.9450629629917203,0.9469275957574484,0.9437496534730699,0.9503059773986269,0.9440461963244734,0.9460184771890677,0.002414937467629164
0.035524177551269534,0.006029383969777378,0.007192850112915039,0.0004884850972436602,gini,10,2,20,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 20}",0.8145657111528821,0.8081368742047634,0.799444564869331,0.8039795358666559,0.8530984236286302,0.8158450219444525,0.019280211963857048,117,0.9253826225096196,0.918686148227985,0.936510016030803,0.9286083568750603,0.9223276215632429,0.9263029530413421,0.006069019787750101
0.03331327438354492,0.002627286083121566,0.0072705745697021484,0.00041210448289679124,gini,10,4,2,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.8044174197763797,0.8197209753489438,0.7878149437507926,0.816830476900149,0.8413123185856244,0.814019226872378,0.017687199162678687,123,0.9407836363084368,0.9476861353811094,0.9424619869773577,0.9486934068229879,0.9430335617421759,0.9445317454464135,0.003093424572070161
0.03472666740417481,0.00993562414742439,0.007197284698486328,0.0029065053520843545,gini,10,4,5,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.8044174197763797,0.8197209753489438,0.7878149437507926,0.816830476900149,0.8413123185856244,0.814019226872378,0.017687199162678687,123,0.9407836363084368,0.9476861353811094,0.9424619869773577,0.9486934068229879,0.9430335617421759,0.9445317454464135,0.003093424572070161
0.027956390380859376,0.0019909376367517914,0.00730133056640625,0.0009582144313614159,gini,10,4,10,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.8167091350038194,0.815904592925971,0.7873623708765926,0.8042728142433205,0.8372125454261264,0.8122922916951658,0.016366974318008314,138,0.9344163324481124,0.9394902189044606,0.9382100511400397,0.9455595936871054,0.9372713396081281,0.9389895071575692,0.003684842672177433
0.029268455505371094,0.0030433647231846734,0.008464431762695313,0.0014606931318278003,gini,10,4,20,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 20}",0.8320951699782103,0.8205417804927287,0.790608745259908,0.8182458421396109,0.8570089795389298,0.8237001034818776,0.021516134994604228,89,0.9174811378082836,0.9133729243521153,0.9279173945486778,0.9250421255102187,0.9169638114171753,0.9201554787272942,0.005430810941676153
0.029082250595092774,0.002431228335322543,0.008349275588989258,0.0017722688171511692,gini,10,8,2,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 2}",0.8228337167679768,0.8332873527916631,0.8024524524524524,0.8317447882044252,0.859856936085232,0.8300350492603499,0.01852298278164452,51,0.9106760606760607,0.9149277980028152,0.9201160746615162,0.9200640138668439,0.9162920421683298,0.916415197875113,0.003526345661656568
0.03249673843383789,0.003296261534652347,0.011371755599975586,0.006709107015004195,gini,10,8,5,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 8, 'min_samples_split': 5}",0.8228337167679768,0.8332873527916631,0.8024524524524524,0.8317447882044252,0.859856936085232,0.8300350492603499,0.01852298278164452,51,0.9106760606760607,0.9149277980028152,0.9201160746615162,0.9200640138668439,0.9162920421683298,0.916415197875113,0.003526345661656568
